,City,Country,Date,Temperature,Latitude,Longitude,Humidity,Wind Speed,Cloudiness
59,castro,BR,1588573979,52.66,-24.79,-50.01,68,5.64,97
60,ostersund,SE,1588573941,33.8,63.18,14.64,86,14.99,40
61,puerto ayora,EC,1588574178,77.0,-0.74,-90.35,93,1.99,4
62,ahipara,NZ,1588574178,59.59,-35.17,173.17,74,18.14,18
63,faya,SA,1588574178,76.1,18.39,42.45,41,12.75,22
64,chuy,UY,1588574178,54.48,-33.7,-53.46,90,4.27,26
65,kulhudhuffushi,MV,1588574179,85.71,6.62,73.07,71,13.56,100
66,aklavik,CA,1588574179,14.0,68.22,-135.01,72,9.17,5
67,kiama,AU,1588574180,61.77,-34.68,150.87,66,1.99,100
68,presque isle,US,1588573985,43.84,46.68,-68.02,81,4.32,75
69,cabo san lucas,MX,1588573954,77.22,22.89,-109.91,30,13.53,100
70,atuona,PF,1588573914,81.5,-9.8,-139.03,74,19.15,1
71,te anau,NZ,1588574182,44.28,-45.42,167.72,78,1.88,73
72,cherskiy,RU,1588574182,29.37,68.75,161.3,97,2.3,32
73,aksarka,RU,1588574183,23.25,66.56,67.8,95,7.27,0
74,erzin,TR,1588574183,64.99,36.96,36.2,83,1.01,60
75,fortuna,US,1588574184,44.78,40.6,-124.16,93,5.82,1
76,thompson,CA,1588574184,26.6,55.74,-97.86,79,2.24,5
77,cape town,ZA,1588574150,54.21,-33.93,18.42,93,3.36,0
78,sale,MA,1588574185,64.35,34.04,-6.82,93,5.82,75
79,kodiak,US,1588574185,46.4,57.79,-152.41,70,8.79,90
80,bilibino,RU,1588574186,25.74,68.05,166.44,90,0.89,1
81,lampa,CL,1588574186,57.2,-33.28,-70.9,76,2.24,100
82,nong han,TH,1588574187,95.0,17.36,103.11,50,11.41,20
83,trinidad,BO,1588574187,73.2,-14.83,-64.9,86,2.42,100
84,buchanan,LR,1588574188,77.0,5.88,-10.05,94,5.3,40
85,hambantota,LK,1588574188,89.08,6.12,81.12,63,8.34,45
86,tartagal,AR,1588574188,65.93,-22.52,-63.8,82,1.7,41
87,alofi,NU,1588574189,75.2,-19.06,-169.92,94,1.12,3
88,mitsamiouli,KM,1588574190,84.2,-11.38,43.28,66,3.36,75
89,torbay,CA,1588574190,33.98,47.67,-52.73,95,17.22,90
90,kapaa,US,1588574191,74.52,22.08,-159.32,78,19.46,90
91,quang ngai,VN,1588574191,90.59,15.12,108.8,58,12.39,42
92,barrow,US,1588573902,10.4,71.29,-156.79,85,10.29,1
93,sept-iles,CA,1588574122,42.8,50.2,-66.38,56,12.75,90
94,upernavik,GL,1588574193,15.55,72.79,-56.15,92,6.62,100
95,ilulissat,GL,1588574194,26.6,69.22,-51.1,92,8.05,100
96,longyearbyen,SJ,1588574194,17.6,78.22,15.64,72,3.36,20
97,tasiilaq,GL,1588574194,30.2,65.61,-37.64,92,27.51,100
98,lorengau,PG,1588574195,84.11,-2.02,147.27,78,6.8,100
99,tateyama,JP,1588574196,66.94,34.98,139.87,93,8.05,75
100,sao felix do xingu,BR,1588574196,71.64,-6.64,-51.99,91,1.5,100
101,talnakh,RU,1588574197,23.0,69.49,88.4,85,33.55,69
102,esperance,AU,1588574198,84.2,-33.87,121.9,12,19.46,100
103,saint-pierre,RE,1588574199,80.22,-21.34,55.48,65,8.05,40
104,bosaso,SO,1588574200,92.86,11.28,49.18,53,2.95,33
105,saskylakh,RU,1588574200,17.46,71.92,114.08,94,4.56,100
106,nome,US,1588574009,44.6,64.5,-165.41,39,8.05,1
107,labuhan,ID,1588574201,86.7,-6.88,112.21,68,8.63,26
108,zheleznodorozhnyy,RU,1588574201,58.6,55.75,38.0,87,6.71,100
109,mosetse,BW,1588574202,74.86,-20.75,26.65,20,10.18,0
110,port hardy,CA,1588574202,41.0,50.7,-127.42,86,3.36,75
111,sao joao do piaui,BR,1588574202,72.93,-8.36,-42.25,80,2.91,14
112,arraial do cabo,BR,1588574203,71.04,-22.97,-42.03,66,6.42,100
113,yining,CN,1588574204,92.5,29.04,114.56,42,5.37,100
114,nueva florida,PE,1588574204,70.66,-6.95,-76.61,87,0.36,100
115,chikhli,IN,1588574204,102.56,20.35,76.25,12,9.64,0
116,oranjemund,NA,1588574205,59.68,-28.55,16.43,81,12.15,0
117,makakilo city,US,1588573947,75.88,21.35,-158.09,61,14.99,40
118,vostok,RU,1588574206,32.59,46.49,135.88,80,4.07,100
119,santa rosa,PH,1588573953,96.82,14.31,121.11,50,10.29,20
120,mount gambier,AU,1588574206,55.4,-37.83,140.77,76,4.7,90
121,ribeira grande,PT,1588574207,59.0,38.52,-28.7,77,14.99,40
122,bredasdorp,ZA,1588574207,51.8,-34.53,20.04,93,2.24,1
123,smithers,CA,1588574207,37.4,54.78,-127.17,86,3.27,1
124,touros,BR,1588574208,75.2,-5.2,-35.46,100,4.7,40
125,tura,IN,1588574208,89.85,25.52,90.22,43,1.74,7
126,norman wells,CA,1588574209,23.0,65.28,-126.83,73,2.24,20
127,iraquara,BR,1588574210,68.0,-12.25,-41.62,94,3.36,90
128,balkhash,KZ,1588574210,68.0,46.84,74.98,37,13.42,0
129,hashtrud,IR,1588574211,60.85,37.48,47.05,24,16.22,73
130,pevek,RU,1588574211,21.27,69.7,170.31,94,7.31,18
131,louisville,US,1588574212,54.73,38.25,-85.76,67,5.82,40
132,chernyshkovskiy,RU,1588574212,66.65,48.42,42.23,54,14.12,77
133,shwebo,MM,1588574212,97.74,22.57,95.7,33,7.16,0
134,kaitangata,NZ,1588574213,46.0,-46.28,169.85,70,5.99,76
135,kontagora,NG,1588574213,81.59,10.4,5.47,56,6.87,3
136,itarema,BR,1588574214,76.68,-2.92,-39.92,89,7.81,100
137,avarua,CK,1588574214,75.2,-21.21,-159.78,88,3.36,0
138,yumbe,UG,1588574214,73.42,3.47,31.25,62,6.58,89
139,westport,US,1588574215,61.0,41.14,-73.36,63,9.17,90
140,yar-sale,RU,1588573984,19.18,66.83,70.83,94,10.67,34
141,tautira,PF,1588574215,82.2,-17.73,-149.15,74,3.36,20
142,ajdabiya,LY,1588574216,69.37,30.76,20.23,69,15.08,28
143,akyab,MM,1588574216,87.96,20.15,92.9,55,9.62,0
144,massakory,TD,1588574217,92.01,13.0,15.73,31,5.37,92
145,portland,US,1588574096,44.96,45.52,-122.68,81,1.99,1
146,okakarara,NA,1588574217,65.37,-20.58,17.43,16,2.84,0
147,iranshahr,IR,1588574218,89.6,27.2,60.68,27,6.93,0
148,hithadhoo,MV,1588574218,84.83,-0.6,73.08,75,14.9,100
149,catamarca,AR,1588574219,61.12,-28.47,-65.79,67,0.85,37
150,fairbanks,US,1588574139,43.2,64.84,-147.72,36,13.87,40
151,egvekinot,RU,1588574106,17.35,66.32,-179.17,95,1.21,15
152,anadyr,RU,1588574220,23.0,64.75,177.48,85,6.71,75
153,tambacounda,SN,1588574221,82.4,13.75,-13.76,51,6.93,0
154,los llanos de aridane,ES,1588574221,68.0,28.66,-17.92,77,4.7,20
155,brae,GB,1588574221,39.2,60.4,-1.35,86,4.7,16
156,saint-philippe,RE,1588574222,80.15,-21.36,55.77,65,8.05,40
157,ancud,CL,1588574222,49.48,-41.87,-73.82,100,5.82,100
158,nyrob,RU,1588574222,49.98,60.73,56.72,56,7.99,1
159,abnub,EG,1588574223,68.0,27.27,31.15,45,9.17,47
160,san cristobal,VE,1588574223,67.28,7.77,-72.22,67,2.13,93
161,vila franca do campo,PT,1588574223,57.2,37.72,-25.43,82,21.92,40
162,caravelas,BR,1588574224,73.92,-17.71,-39.25,74,8.08,59
163,parana,AR,1588574225,64.67,-31.73,-60.52,80,4.16,100
164,topolobampo,MX,1588574225,68.99,25.6,-109.05,73,2.98,0
165,hofn,IS,1588574225,41.61,64.25,-15.21,65,9.08,100
166,mahibadhoo,MV,1588574226,85.17,3.78,72.97,79,14.41,100
167,perth,AU,1588574177,66.78,-31.93,115.83,88,8.05,75
168,saint george,US,1588574004,67.95,37.1,-113.58,21,3.36,1
169,tiszanana,HU,1588574227,51.8,47.57,20.53,62,6.93,0
170,tessalit,ML,1588574227,89.22,20.2,1.01,9,4.9,0
171,half moon bay,US,1588574228,50.67,37.46,-122.43,87,4.7,75
172,college,US,1588574228,42.8,64.86,-147.8,36,13.87,40
173,san patricio,MX,1588574229,70.65,19.22,-104.7,82,2.51,97
174,airai,TL,1588574230,68.65,-8.93,125.41,58,3.76,79
175,salalah,OM,1588574230,87.8,17.02,54.09,79,11.41,75
176,prince george,CA,1588574075,37.15,53.92,-122.75,53,5.82,1
177,amapa,BR,1588574231,71.73,1.0,-52.0,95,1.63,40
178,wagar,SD,1588574232,100.04,16.15,36.2,7,10.36,46
179,aitape,PG,1588574232,78.69,-3.14,142.35,88,8.3,100
180,cururupu,BR,1588574233,75.34,-1.83,-44.87,96,2.44,99
181,cuenca,EC,1588574233,59.0,-2.88,-78.98,100,2.17,100
182,khatanga,RU,1588574234,14.54,71.97,102.5,94,12.62,94
183,mahebourg,MU,1588574235,80.6,-20.41,57.7,74,13.87,40
184,bathsheba,BB,1588574235,80.6,13.22,-59.52,78,20.8,40
185,constantine,DZ,1588574236,57.2,36.37,6.61,82,3.04,8
186,coihaique,CL,1588574236,39.2,-45.58,-72.07,93,3.09,75
187,basco,PH,1588574237,82.17,20.45,121.97,67,3.58,40
188,bethel,US,1588574089,62.17,41.37,-73.41,45,6.93,90
189,tilichiki,RU,1588574238,28.65,60.47,166.1,96,4.0,100
190,manitouwadge,CA,1588574238,23.13,49.12,-85.84,93,8.05,98
191,kangaatsiaq,GL,1588574238,25.03,68.31,-53.46,93,16.78,100
192,mae sai,TH,1588574239,91.4,20.43,99.88,59,5.82,20
193,yinchuan,CN,1588574239,68.2,38.47,106.27,28,3.56,89
194,valdivia,CL,1588574240,53.6,-39.81,-73.25,100,5.82,90
195,along,IN,1588574240,92.37,28.17,94.77,29,1.74,0
196,kamaishi,JP,1588574241,78.8,39.27,141.88,47,5.82,75
197,klaksvik,FO,1588573954,35.6,62.23,-6.59,80,3.36,100
198,fort nelson,CA,1588574241,39.2,58.81,-122.7,80,10.29,90
199,guarapuava,BR,1588574242,47.16,-25.4,-51.46,70,2.95,0
200,ponta do sol,PT,1588574242,61.68,32.67,-17.1,67,8.05,40
201,acajutla,SV,1588574243,71.01,13.59,-89.83,100,4.76,3
202,asosa,ET,1588574243,83.61,10.07,34.53,31,4.34,1
203,yulara,AU,1588574243,75.2,-25.24,130.99,23,11.41,0
204,muros,ES,1588574243,55.65,42.78,-9.06,92,7.83,1
205,puerto escondido,MX,1588574244,81.16,15.85,-97.07,67,5.32,0
206,pravokubanskiy,RU,1588574244,65.44,43.92,41.88,33,3.98,100
207,puerto quijarro,BO,1588574245,69.76,-17.78,-57.77,70,1.61,100
208,nanpiao,CN,1588574245,69.84,41.1,120.75,20,3.58,67
209,voh,NC,1588574246,72.34,-20.97,164.7,88,7.81,100
210,georgetown,MY,1588574109,87.4,5.41,100.34,70,6.93,20
211,stepnogorsk,KZ,1588574246,49.01,52.35,71.89,44,17.09,97
212,nerchinskiy zavod,RU,1588574247,51.71,51.31,119.61,43,2.3,100
213,blagoyevo,RU,1588574247,46.62,63.37,47.92,89,8.32,100
214,adrar,MR,1588574247,83.95,20.5,-10.07,12,5.93,0
215,cayenne,GF,1588574248,77.0,4.93,-52.33,100,2.24,65
216,alassio,IT,1588574248,61.32,44.0,8.17,72,12.75,20
217,rawson,AR,1588574249,55.78,-43.3,-65.1,54,14.76,98
218,kitui,KE,1588574249,74.46,-1.37,38.01,53,6.04,0
219,bongor,TD,1588574250,89.98,10.28,15.37,39,7.83,100
220,sete,FR,1588574251,62.74,43.4,3.7,77,3.36,0
221,olafsvik,IS,1588574251,42.08,64.89,-23.71,89,30.87,100
222,broome,US,1588574251,47.8,42.25,-75.83,67,6.93,1
223,alpena,US,1588573996,39.06,45.06,-83.43,86,13.87,90
224,roald,NO,1588574252,39.02,62.58,6.13,65,8.05,40
225,qaqortoq,GL,1588574252,33.8,60.72,-46.03,96,13.87,100
226,souillac,MU,1588574252,80.6,-20.52,57.52,74,13.87,40
227,quatre cocos,MU,1588574253,80.82,-20.21,57.76,74,13.87,40
228,surt,LY,1588574253,70.59,31.21,16.59,53,17.67,0
229,kamenka,RU,1588574105,65.03,51.32,42.77,56,14.05,100
230,rorvik,NO,1588574254,37.4,64.86,11.24,86,10.29,75
231,la peca,PE,1588574254,68.5,-5.61,-78.44,69,0.13,100
232,tiksi,RU,1588574256,26.91,71.69,128.87,95,7.49,89
233,druzhba,UA,1588574256,55.67,52.04,33.95,88,6.22,100
234,athabasca,CA,1588574257,47.66,54.72,-113.29,60,10.89,53
235,grindavik,IS,1588574257,42.8,63.84,-22.43,93,23.04,75
236,lata,PT,1588574257,62.67,40.16,-8.33,95,5.01,100
237,pemangkat,ID,1588574118,85.19,1.17,108.97,69,10.0,100
238,the valley,AI,1588574258,77.85,18.22,-63.06,78,5.82,20
239,shingu,JP,1588574258,69.8,33.73,135.98,77,6.93,75
240,mamou,GN,1588574259,71.33,10.5,-12.0,75,2.89,88
241,kozhva,RU,1588574259,37.51,65.11,57.05,86,10.69,100
242,simao,CN,1588574260,87.44,22.79,100.97,22,8.23,10
243,bastia,FR,1588574261,60.8,42.67,9.33,82,2.24,2
244,nurota,UZ,1588574263,73.4,40.56,65.69,49,9.17,100
245,pangoa,PE,1588574263,68.29,-12.12,-73.0,80,2.37,100
246,monaco-ville,FR,1588574264,64.67,43.73,7.42,59,6.93,0
247,lahaina,US,1588574264,71.94,20.88,-156.68,73,18.34,40
248,bara,NG,1588574265,83.59,10.37,10.73,65,8.32,94
249,dingle,PH,1588574265,92.82,11.0,122.67,54,11.14,84
250,hirara,JP,1588574265,83.46,24.8,125.28,74,8.05,40
251,provideniya,RU,1588574265,35.51,64.38,-173.3,79,0.63,0
252,salamiyah,SY,1588574266,66.47,35.01,37.05,47,7.25,100
253,lebu,CL,1588574267,52.86,-37.62,-73.65,85,8.99,0
254,san andres,CO,1588574268,82.4,12.58,-81.7,78,9.17,90
255,dunedin,NZ,1588574268,49.89,-45.87,170.5,86,1.99,100
256,dhidhdhoo,MV,1588574269,85.86,6.88,73.1,72,13.44,100
257,clonakilty,IE,1588574269,46.71,51.62,-8.87,75,10.29,100
258,contramaestre,CU,1588574270,74.28,20.3,-76.24,94,6.93,78
259,malpe,IN,1588574270,93.2,13.35,74.72,59,6.93,40
260,yellowknife,CA,1588574271,34.95,62.46,-114.35,90,12.75,90
261,necochea,AR,1588574101,55.0,-38.55,-58.74,90,5.99,100
262,isangel,VU,1588574273,80.6,-19.55,169.27,83,3.49,75
263,puerto ayacucho,VE,1588574273,75.83,5.66,-67.62,92,4.52,100
264,kavaratti,IN,1588574274,91.4,10.57,72.64,66,5.82,20
265,savannah bight,HN,1588574274,81.57,16.45,-85.85,80,13.35,7
266,amfiklia,GR,1588574275,60.55,38.63,22.58,62,11.41,20
267,leshukonskoye,RU,1588574275,45.1,64.9,45.76,96,7.29,100
268,waddan,LY,1588574275,71.44,29.16,16.14,36,7.05,0
269,mokhsogollokh,RU,1588574276,41.99,61.47,128.92,55,6.17,0
270,meulaboh,ID,1588574276,78.26,4.14,96.13,87,6.91,97
271,cidreira,BR,1588574276,62.58,-30.18,-50.21,81,12.17,55
272,presidencia roque saenz pena,AR,1588574277,66.67,-26.79,-60.44,47,6.85,99
273,comodoro rivadavia,AR,1588574278,50.0,-45.87,-67.5,66,11.41,0
274,uglich,RU,1588574278,63.01,57.53,38.33,70,10.02,38
275,kpalime,TG,1588574278,77.43,6.9,0.63,80,1.23,100
276,stawell,AU,1588574279,55.87,-37.05,142.77,63,4.47,96
277,pemberton,CA,1588574279,39.29,50.32,-122.8,66,2.53,8
278,waingapu,ID,1588574280,84.0,-9.66,120.26,68,15.52,0
279,seydi,TM,1588574280,79.0,39.48,62.91,38,5.57,100
280,kushmurun,KZ,1588574280,55.27,52.45,64.63,37,8.79,0
281,port moresby,PG,1588574281,78.62,-9.44,147.18,89,9.8,100
282,port blair,IN,1588574212,87.35,11.67,92.75,63,11.27,18
283,shelburne,CA,1588574281,43.41,44.08,-80.2,65,5.82,90
284,destin,US,1588574282,66.07,30.39,-86.5,78,4.7,1
285,oistins,BB,1588574283,80.6,13.07,-59.53,78,20.8,40
286,arco,IT,1588574283,49.64,45.92,10.89,100,6.93,90
287,mayo,US,1588574283,62.73,38.89,-76.51,93,10.29,90
288,ambon,ID,1588574284,78.8,-3.7,128.18,94,6.93,40
289,sisimiut,GL,1588574087,26.71,66.94,-53.67,96,14.0,100
290,rosarito,MX,1588574285,61.25,32.33,-117.03,82,6.38,90
291,jalu,LY,1588574285,71.35,29.03,21.55,55,14.81,0
292,karibib,NA,1588574286,70.63,-21.93,15.83,15,6.73,0
293,xinzhou,CN,1588574286,56.91,38.41,112.73,56,3.04,100
294,spas-klepiki,RU,1588574286,57.07,55.13,40.18,78,6.62,100
295,carutapera,BR,1588574286,76.42,-1.2,-46.02,93,3.62,92
296,constitucion,CL,1588574287,53.98,-35.33,-72.42,72,6.24,0
297,queanbeyan,AU,1588574288,58.23,-35.35,149.23,51,8.05,11
298,kokopo,PG,1588574288,82.89,-4.35,152.26,76,0.92,100
299,iqaluit,CA,1588574289,10.4,63.75,-68.51,72,10.29,90
300,la roche-sur-yon,FR,1588574289,51.8,46.67,-1.43,100,5.82,90
301,husavik,IS,1588574289,42.8,66.04,-17.34,52,31.09,20
302,neepawa,CA,1588574290,33.8,50.23,-99.47,86,9.17,40
303,luderitz,NA,1588574290,65.7,-26.65,15.16,53,15.99,0
304,hasaki,JP,1588574291,67.75,35.73,140.83,93,9.17,75
305,carballo,ES,1588574291,61.54,43.21,-8.69,64,5.99,1
306,mbulu,TZ,1588574291,65.14,-3.85,35.53,49,9.1,85
307,hamilton,US,1588574292,48.7,39.18,-84.53,100,4.03,90
308,naze,JP,1588574293,82.4,28.37,129.48,69,11.41,20
309,gravdal,NO,1588574293,39.2,68.12,13.5,73,16.11,75
310,banda aceh,ID,1588574294,85.48,5.56,95.32,68,2.77,72
311,nanortalik,GL,1588574294,33.93,60.14,-45.24,93,9.95,100
312,pandan,PH,1588574294,86.77,14.05,124.17,73,11.1,100
313,new kensington,US,1588574082,57.99,40.57,-79.76,47,1.01,0
314,kenai,US,1588574295,50.58,60.55,-151.26,53,6.93,90
315,mwense,ZM,1588574295,74.35,-10.38,28.7,46,7.56,0
316,arlit,NE,1588574296,92.75,18.74,7.39,13,1.9,94
317,alta floresta,BR,1588574296,69.28,-9.88,-56.09,90,2.39,29
318,pisco,PE,1588574296,65.68,-13.7,-76.22,82,8.05,97
319,bubaque,GW,1588574297,78.21,11.28,-15.83,67,9.75,56
320,tromso,NO,1588574297,37.4,69.65,18.96,93,5.82,75
321,dikson,RU,1588574298,14.47,73.51,80.55,91,8.05,82
322,igunga,TZ,1588574298,74.37,-4.28,33.88,50,6.87,65
323,magadan,RU,1588574299,33.12,59.57,150.8,88,26.19,100
324,flin flon,CA,1588574299,26.76,54.77,-101.86,93,6.31,0
325,mecca,SA,1588574299,96.84,21.43,39.83,10,5.68,0
326,san policarpo,PH,1588574300,83.82,12.18,125.51,85,10.25,100
327,bengkulu,ID,1588574237,85.8,-3.8,102.27,68,8.3,36
328,harrai,IN,1588574300,106.02,22.62,79.22,10,11.97,0
329,saint-augustin,CA,1588574301,31.96,51.23,-58.65,96,4.16,99
330,vanimo,PG,1588574301,79.38,-2.67,141.3,88,12.24,100
331,imeni poliny osipenko,RU,1588574301,50.58,52.42,136.49,41,13.06,16
332,namikupa,TZ,1588574302,77.63,-10.83,39.6,64,7.23,0
333,severo-kurilsk,RU,1588574302,40.5,50.68,156.12,68,3.91,96
334,gold coast,AU,1588574173,70.5,-28.0,153.43,56,18.34,0
335,alenquer,BR,1588574113,77.0,-1.94,-54.74,100,2.24,40
336,aksarayskiy,RU,1588574304,76.91,46.79,48.01,31,15.66,0
337,hun,LY,1588574304,71.26,29.13,15.95,36,6.71,0
338,peterhead,GB,1588574304,40.84,57.51,-1.8,93,9.17,0
339,bogorodskoye,RU,1588574304,60.66,56.55,37.88,74,11.34,100
340,walldurn,DE,1588574305,52.07,49.58,9.37,69,5.73,67
341,praia da vitoria,PT,1588574305,57.2,38.73,-27.07,87,19.33,20
342,zhovtneve,UA,1588574306,52.23,50.66,24.25,75,12.91,100
343,yerbogachen,RU,1588574306,55.38,61.28,108.01,33,5.86,100
344,jingdezhen,CN,1588574307,93.24,29.29,117.21,41,3.83,100
345,terrace bay,CA,1588574307,25.79,48.78,-87.1,90,11.36,0
346,mumford,GH,1588574308,81.46,5.26,-0.76,83,5.32,68
347,ramhormoz,IR,1588574078,89.6,31.28,49.6,22,6.93,18
348,pacific grove,US,1588574211,52.14,36.62,-121.92,66,3.36,1
349,matagami,CA,1588574310,23.0,49.75,-77.63,92,14.99,90
350,phultala,BD,1588574310,92.46,22.7,89.52,42,4.68,94
351,caruray,PH,1588574311,93.2,10.31,119.01,59,6.93,75
352,balkany,HU,1588574311,51.8,47.77,21.86,71,9.17,100
353,saldanha,ZA,1588574312,46.4,-33.01,17.94,93,1.12,0
354,segezha,RU,1588574312,41.94,63.74,34.32,91,4.12,100
355,prokuplje,RS,1588574313,50.0,43.23,21.59,66,13.87,40
356,coquimbo,CL,1588574314,55.4,-29.95,-71.34,87,2.24,100
357,plettenberg bay,ZA,1588574314,62.33,-34.05,23.37,80,9.37,6
358,awjilah,LY,1588574315,71.15,29.11,21.29,55,15.12,0
359,albert lea,US,1588574315,45.97,43.65,-93.37,67,8.05,1
360,sitka,US,1588574315,46.4,57.05,-135.33,87,5.82,90
361,montrose,US,1588574021,62.87,38.42,-108.27,14,3.36,40
362,pangnirtung,CA,1588574316,6.78,66.15,-65.71,90,0.58,100
363,marquette,US,1588574317,34.75,46.53,-87.63,71,5.99,81
364,jijiga,ET,1588574074,72.81,9.35,42.8,42,5.46,0
365,aketi,CD,1588574317,86.25,2.74,23.78,50,1.12,0
366,yumen,CN,1588574318,79.93,40.28,97.2,13,19.28,0
367,northam,GB,1588574318,49.3,51.03,-4.22,98,3.0,96
368,nishihara,JP,1588574319,82.29,26.18,127.76,70,16.11,1
369,tanout,NE,1588574319,88.95,14.97,8.89,18,4.25,0
370,petropavlovsk-kamchatskiy,RU,1588574320,50.0,53.05,158.65,37,15.66,20
371,nang rong,TH,1588574320,91.99,14.64,102.79,56,2.71,100
372,ivanteyevka,RU,1588574320,58.57,55.97,37.92,87,6.71,100
373,byron bay,AU,1588574213,65.62,-28.65,153.62,64,12.75,40
374,san rafael,AR,1588574321,57.22,-34.62,-68.33,44,4.85,100
375,moerai,PF,1588574322,78.21,-22.43,-151.33,77,23.2,100
376,sao filipe,CV,1588574322,75.6,14.9,-24.5,62,11.72,0
377,lodhran,PK,1588574322,99.18,29.54,71.63,22,5.41,100
378,marawi,PH,1588574323,84.0,8.0,124.29,78,5.99,100
379,vilyuysk,RU,1588574323,42.87,63.76,121.62,57,2.95,46
380,katsuura,JP,1588574323,66.99,35.13,140.3,93,8.05,75
381,springbok,ZA,1588574324,60.42,-29.66,17.89,36,4.27,0
382,soyo,AO,1588574325,80.6,-6.13,12.37,94,3.22,75
383,sovetskiy,RU,1588574326,45.27,61.36,63.58,51,5.19,12
384,atambua,ID,1588574326,82.06,-9.11,124.89,58,3.85,55
385,japura,ID,1588574328,92.35,-0.32,102.35,60,1.77,72
